attraction_id,attraction_name,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords,images_url
203,Attarine Mosque,4.6,502,Mosque,Religious Sites,31.1952116,29.8989901,alexandria,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc3KbV6-ZrsT3qQr7VQOEzBJnTH-PJyd4wIm-WxUT8FM7_Vk4NXthcKj9781Q&s
204,National Military Museum Egypt,4.3,"4,531",Museum,Warfare exhibits dating to ancient times museum,30.030853,31.262557,cairo,Museum Warfare exhibits dating to ancient times museum,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShptnVRjQXMhRdiv2By4Fq-gMlmhfWDyd6h6oO3XusQu57ws2z_1EOu51s1eg&s
205,Al-Gawhara Palace,4,95,Palace,Palatial museum housing cultural relics,30.0279942,31.2594134,cairo,Palace Palatial museum housing cultural relics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmwQ8RFtvwVYiqQT3EJD3YnYW-SUu178vSh9NEiS9TzqWLUYxp-u6YD5DQWLE&s
206,Orman Garden,4.2,"12,540",Garden,Huge complex of flowers & native plants,30.0290398,31.2129736,cairo,Garden Huge complex of flowers & native plants,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROvkvQh3SGwAWwViWIlvx0FPJ97PZ4-oiCXOFu8Aj6V3ccYr0Nwcn8KTYy8Vg&s
207,Saint Barbara Church Complex,4.8,72,Church,Church and architecture Religious sites Christinaity,30.0060835,31.231334,cairo,Church Church and architecture Religious sites Christinaity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsE5JhRaQklWpMCkTymoFgUrGTRfmUBVluEhepbuoSJk97KkQnoRihF8HneVM&s
208,Umm Kulthum Museum,4.3,761,Museum,biographical museum,30.0074532,31.2252869,cairo,Museum biographical museum,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9jb835vaIqIhf9C5efbC4100UYwM2RMukayeHCh8zA_AWv0bATAx4xpxe_YQ&s
209,Aquarium Grotto Garden,3.8,"3,992",Garden,Leafy park with man-made caves,30.0563997,31.2190813,cairo,Garden Leafy park with man-made caves,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8ho0662cCTphAbSe5z01suKD7CBT0Gju_A1tlLE-KlGumN-2LreeS-fyAtQ&s
210,Valley Temple of Khafre,4.6,338,Historic,Ancient egypt and ancient history historic sites,29.9747367,31.1383572,giza,Historic Ancient egypt and ancient history historic sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLaUyq1pe4KKQvt0e1DXDZEJv2nm4zmyVHdw16gawkxVhycTI-SqsK434sG_w&s
211,Pyramid of Sahure,4.5,88,Historical landmark,Ancient complex of pyramids & temples historic sites,29.8976335,31.2033927,giza,Historical landmark Ancient complex of pyramids & temples historic sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLi6FFxegUISJPxwLiONPWsxAo6VS1OUuA1XmFIMV8nOPl0ZjGtPgqhm4Fvg&s
212,St. George's church,4.7,371,Church,Religious Sites Round church with an ornate interior Christinaity,30.00629949,31.2300886,cairo,Church Religious Sites Round church with an ornate interior Christinaity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE375BkedQQw2us18p2mxW7VFib4Tu1ZpFgPmyKFHRBvk_KdkIcoGOuLay6HY&s
213,Mahmoud Mukhtar Museum,4.5,261,Museum,"Museum, sculpture and art",30.0406962,31.2228689,cairo,"Museum Museum, sculpture and art",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoDKCTaQerlmdIN5d8IJmm_3e7PkVgTMGFU7YhsiB4PgEplLn92tbmisVO8Q&s
214,Rhoda Island,4.4,224,island,,30.0225,31.2261111,cairo,island ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnIBmhadg__LoL8ORsLluZMFE-0EuFMK7Bei0bhwAX50qTjchtl8ulfmQdKA&s
215,Manasterly Palace,4.2,821,Palace,Grand historic building & music venue museum,30.0071815,31.2248196,cairo,Palace Grand historic building & music venue museum,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQpUsUEToDbTGHVM1bIlYXNMkGp2HJYnUbia9FqILYtrskl2cgAHpGk82rgw&s
